strace + skipgram (window 5):
    ls | ls:
        ls -i /Downloads/forrest-sense-of-self.pdf: 20 | 142
        ls -i /Documents/circuitos/trabalho_semaforos.md: 20 | 142
        ls .. /Pictures/Screenshots/'Picture5(TheBoys).jpeg': 20 | 148
        ls -t /Pictures/Screenshots/'Screenshot from 2025-02-01 17-03-32.png': 20 | 160
        ls  /Pictures/Screenshots/Opção2.png: 20 | 148
        ls -S /Documents/Scientific-Calculator/main.py: 20 | 142
        ls * /Downloads/entrada2.txt: 20 | 148
        ls -s /Pictures/Images/grade-bcc.png: 20 | 142
        ls  /Documents/Scientific-Calculator/requirements.txt: 20 | 148
    ls | grep:
        grep -x ' ' /Desktop/: 120 | 143
        grep -B "a" /Videos/: 122 | 131
        grep -c "c" /Downloads/: 120 | 138
        grep -x "a" /Public/: 120 | 138
        grep -x "e" /snap/teste.txt: 120 | 138
        grep -v ' ' /Music/teste.txt: 120 | 143
        grep -c "c" /Desktop/teste.txt: 120 | 138
        grep -c "a" /snap/teste.txt: 120 | 138
        grep -w "c" /Teste/: 120 | 138
        grep -x "d" /Music/: 120 | 138
    ls | cat:
        cat -b /Documents/The-Boys/README.md: 36 | 111
        cat -e /snap/firefox/common: 36 | 111
        cat  /snap/firefox/current: 36 | 116
        cat -b /Downloads/firefox/fonts: 36 | 111
        cat -n /snap/snapd-desktop-integration/253: 36 | 111
        cat  /Pictures/Screenshots/'Picture2(TheBoys).png': 36 | 116
        cat -E /Downloads/dark_room.png: 36 | 111
        cat -A /Documents/circuitos/trabalho_semaforos.md: 36 | 111
        cat -n /Pictures/Screenshots/Opção2.png: 36 | 111
        cat -s /Documents/The-Boys/theboys.: 36 | 111

    cat | cat:
        cat -v /Downloads/firefox/firefox.sig: 20 | 111
        cat -s /Documents/Strong-Password-Generator/passwords.txt: 20 | 111
        cat -v /Documents/Computer-Science-Freshmen-at-UFPR/CM310: 20 | 111
        cat -e /Downloads/testes/entrada1.txt: 20 | 111
        cat -e /Downloads/strace_r.txt: 20 | 111
        cat -e /Documents/Computer-Science-Freshmen-at-UFPR/README.md: 20 | 111
        cat -v /snap/snapd-desktop-integration/current: 20 | 111
        cat  /snap/snapd-desktop-integration/common: 20 | 116
        cat -T /Downloads/Generator2.py: 20 | 111
        cat  /Pictures/Images/grade-bcc.png: 20 | 116
    cat | grep:
        grep  "c" /Videos/: 102 | 142
        grep  "c" /Public/: 102 | 142
        grep -A "d" /Documents/teste.txt: 108 | 131
        grep -i "a" /Music/teste.txt: 106 | 138
        grep -i "e" /fake/: 106 | 138
        grep -A "a" /Public/teste.txt: 108 | 131
        grep -A "f" /Templates/teste.txt: 108 | 131
        grep -w "f" /Videos/: 106 | 138
        grep  "a" /Public/teste.txt: 102 | 142
        grep -B "b" /Public/teste.txt: 108 | 131
    cat | ls:
        ls -S /Pictures/Screenshots/Results.png: 124 | 142
        ls -i /Documents/Rubiks05.github.io/Script.js: 124 | 142
        ls -lh /Documents/circuitos/trabalho_semaforos.md: 108 | 144
        ls -R /Pictures/Screenshots/fake: 124 | 142
        ls -t /Downloads/Generator2.py: 124 | 142
        ls -a /Documents/The-Boys/theboys.: 124 | 142
        ls -la /snap/snapd-desktop-integration/253: 108 | 144
        ls -1 /Pictures/Screenshots/'Screenshot from 2025-01-30 19-09-58.png': 234 | 160
        ls -l /snap/snapd-desktop-integration/common: 108 | 144
        ls / /Videos: 138 | 148

    grep | grep:
        grep -c "d" /Documents/: 20 | 138
        grep -n "d" /Teste/: 20 | 138
        grep -c ' ' /Videos/teste.txt: 20 | 143
        grep -n "f" /fake/: 20 | 138
        grep -A "e" /Videos/: 20 | 131
        grep -B "c" /fake/teste.txt: 20 | 131
        grep -v ' ' /Teste/teste.txt: 20 | 143
        grep -x ' ' /Teste/teste.txt: 20 | 143
        grep -c "f" /fake/teste.txt: 20 | 138
        grep -v "c" /fake/: 20 | 138
    grep | cat:
        cat -E /Pictures/Screenshots/fake: 26 | 111
        cat -T /Downloads/firefox/firefox: 26 | 111
        cat -s /Documents/Strong-Password-Generator/Generator.py: 26 | 111
        cat -e /Desktop: 26 | 111
        cat  /Documents/Computer-Science-Freshmen-at-UFPR/Images: 26 | 116
        cat -T /Downloads/forrest-sense-of-self-1.pdf: 26 | 111
        cat -E /Documents/Strong-Password-Generator/CONTRIBUTING.md: 26 | 111
        cat -v /Downloads/Generator.py: 26 | 111
        cat -T /Downloads/firefox/firefox.sig: 26 | 111
        cat -A /Downloads/coord.o: 26 | 111
    grep | ls:
        ls .. /Documents/Rubiks05.github.io/Script.js: 136 | 148
        ls / /snap/spotify/current: 136 | 148
        ls -S /snap/snapd-desktop-integration/common: 122 | 142
        ls -a /Downloads/Generator2.py: 122 | 142
        ls -1 /Documents/Sorting-and-Searching-Algorithms/'Relatório de ALG2.pdf': 196 | 154
        ls .. /Documents/Sorting-and-Searching-Algorithms/README.md: 136 | 148
        ls -s /fake: 122 | 142
        ls -t /Documents/Rubiks05.github.io/style.css: 122 | 142
        ls -i /Pictures/Screenshots/'Screenshot from 2025-02-01 15-40-57.png': 232 | 160
        ls -S /Documents/Sorting-and-Searching-Algorithms/README.md: 122 | 142


ftrace + skipgram (window 5):
    ls | ls:
        ls / /Downloads/outfile.tga: 20 | 48109
        ls -l /Pictures/Screenshots/'Picture2(TheBoys).png': 20 | 47443
        ls -l /snap/spotify/82: 20 | 48465
        ls -s /Downloads/coord.o: 20 | 48395
        ls -l /Documents/Rubiks05.github.io/Script.js: 20 | 49024
        ls -R /Downloads/entrada.txt: 20 | 46838
        ls -i /Pictures/Screenshots/'Screenshot from 2025-02-01 17-03-32.png': 20 | 47582
        ls -a /Documents/Sorting-and-Searching-Algorithms/tp.c.txt: 20 | 46777
        ls -R /snap/snapd-desktop-integration/common: 20 | 47735
        ls -lh /Pictures/Screenshots/Opção2.png: 20 | 46940
    ls | grep:
        grep -x "f" /Teste/: 27282 | 51471
        grep -v "e" /Downloads/teste.txt: 27264 | 49931
        grep -B "b" /Music/teste.txt: 27766 | 48901
        grep -i "d" /Templates/teste.txt: 27334 | 51262
        grep -x "f" /fake/: 27224 | 50691
        grep -v "a" /Documents/: 27264 | 49863
        grep  "e" /Music/: 27168 | 49588
        grep -w "c" /fake/teste.txt: 27372 | 50124
        grep -C "a" /Templates/: 27126 | 49371
        grep -C "f" /Videos/: 27108 | 48711
    ls | cat:
        cat -s /Documents/Rubiks05.github.io/fake: 110 | 38937
        cat -A /Downloads/forrest-sense-of-self-1.pdf: 44 | 40081
        cat -b /Documents/Computer-Science-Freshmen-at-UFPR/CM303: 52 | 38724
        cat -e /snap/firefox/current: 166 | 40288
        cat -E /Documents/Scientific-Calculator/README.md: 54 | 38931
        cat -s /Documents/Computer-Science-Freshmen-at-UFPR/CM303: 62 | 38885
        cat -e /Pictures/Screenshots/'Screenshot from 2025-02-01 17-03-32.png': 86 | 40358
        cat -A /Pictures/Screenshots/'Picture5(TheBoys).jpeg': 50 | 41851
        cat -v /Pictures/Screenshots/'Picture3(sorting&searching).png': 112 | 40609
        cat  /Documents/Scientific-Calculator/README.md: 72 | 38862

    cat | cat:
        cat -T /Downloads/outfile.tga: 20 | 39406
        cat -T /Documents/Scientific-Calculator/main.py: 20 | 39126
        cat -s /Documents/circuitos/imgs: 20 | 39163
        cat -s /Music: 20 | 41017
        cat -T /Documents/Sorting-and-Searching-Algorithms/Images: 20 | 40530
        cat -e /Documents/Rubiks05.github.io/LICENSE: 20 | 39381
        cat -n /Pictures/Screenshots/'Picture5(TheBoys).jpeg': 20 | 39222
        cat -v /snap/snapd-desktop-integration/current: 20 | 40125
        cat  /Documents/Strong-Password-Generator/Generator.py: 20 | 39035
        cat -A /Pictures/Screenshots/Results.png: 20 | 39489
    cat | grep:
        grep -x ' ' /Templates/: 28136 | 49723
        grep -c "b" /snap/teste.txt: 28228 | 52769
        grep -l "e" /Teste/: 28106 | 50202
        grep  "a" /Downloads/teste.txt: 27934 | 49623
        grep -w "e" /Music/teste.txt: 28168 | 50274
        grep -n "a" /Public/: 28170 | 50032
        grep -w "d" /Public/: 28162 | 50058
        grep -v "f" /Pictures/teste.txt: 28160 | 51110
        grep -B "a" /Teste/teste.txt: 28042 | 51248
        grep -C "c" /Music/teste.txt: 28044 | 49883
    cat | ls:
        ls -lh /Downloads/outfile.tga: 2956 | 47816
        ls -l /Downloads/testes/entrada1.txt: 2850 | 47857
        ls -R /Downloads/forrest-sense-of-self.pdf: 2986 | 47246
        ls -l /Public: 2840 | 47660
        ls .. /Documents/Scientific-Calculator/LICENSE: 5166 | 48052
        ls *.txt /Documents/Sorting-and-Searching-Algorithms/'Relatório de ALG2.pdf': 3948 | 49033
        ls -S /Documents/Rubiks05.github.io/style.css: 2962 | 46711
        ls -a /Documents/Computer-Science-Freshmen-at-UFPR/CI1210: 3024 | 46786
        ls -lh /Downloads/strace_r.txt: 2888 | 48142
        ls *.txt /Documents/Computer-Science-Freshmen-at-UFPR/CI1210: 3336 | 48332

    grep | grep:
        grep -A "b" /fake/: 20 | 49047
        grep -n "b" /Music/teste.txt: 20 | 50153
        grep -v "a" /Desktop/teste.txt: 20 | 50445
        grep -C "d" /Videos/teste.txt: 20 | 52133
        grep  "e" /fake/teste.txt: 20 | 49897
        grep -i "f" /Music/teste.txt: 20 | 51266
        grep -v "a" /fake/: 20 | 50781
        grep -C "d" /Music/: 20 | 49511
        grep -C "f" /Teste/teste.txt: 20 | 49553
        grep -v "d" /Teste/teste.txt: 20 | 50553
    grep | cat:
        cat -E /Downloads/testes/entrada1.txt: 62 | 38651
        cat -v /Pictures/Screenshots/fake: 54 | 39035
        cat -s /Documents/Sorting-and-Searching-Algorithms/Logs: 34 | 39788
        cat -b /Pictures/Screenshots/fake: 64 | 39610
        cat -n /snap/spotify/common: 46 | 39703
        cat -b /Downloads/entrada2.txt: 72 | 38997
        cat  /Downloads/entrada2.txt: 96 | 39824
